Version,Name,Database_Type,Explanation,Date,Webfrom
hg18,dbnsfp35c,filter-based,"same as above, suitable for commercial use",20181023,Annovar
hg19,dbnsfp35c,filter-based,same as above,20181023,Annovar
hg38,dbnsfp35c,filter-based,same as above,20181023,Annovar
hg19,dbnsfp41a,filter-based,same as above,20201007,Annovar
hg38,dbnsfp41a,filter-based,same as above,20201007,Annovar
hg19,dbnsfp41c,filter-based,"same as above, suitable for commerical use",20201007,Annovar
hg38,dbnsfp41c,filter-based,same as above,20201007,Annovar
hg18,dbnsfp42a,filter-based,reformatted to include more columns than dbnsfp41a,20210710,Annovar
hg19,dbnsfp42a,filter-based,same as above,20210710,Annovar
hg38,dbnsfp42a,filter-based,same as above,20210710,Annovar
hg18,dbnsfp42c,filter-based,"reformatted to include more columns than dbnsfp41a, commerical use",20210710,Annovar
hg19,dbnsfp42c,filter-based,same as above,20210710,Annovar
hg38,dbnsfp42c,filter-based,same as above,20210710,Annovar
hg19,dbscsnv11,filter-based,dbscSNV version 1.1 for splice site prediction by AdaBoost and Random Forest,20151218,Annovar
hg38,dbscsnv11,filter-based,same as above,20151218,Annovar
hg19,intervar_20170202,filter-based,InterVar: clinical interpretation of missense variants (indels not supported),20170202,Annovar
hg19,intervar_20180118,filter-based,InterVar: clinical interpretation of missense variants (indels not supported),20180325,Annovar
hg38,intervar_20180118,filter-based,InterVar: clinical interpretation of missense variants (indels not supported),20180325,Annovar
hg18,cg46,filter-based,alternative allele frequency in 46 unrelated human subjects sequenced by Complete Genomics,20120222,Annovar
hg19,cg46,filter-based,same as above,index updated 2012Feb22,Annovar
hg18,cg69,filter-based,allele frequency in 69 human subjects sequenced by Complete Genomics,20120222,Annovar
hg19,cg69,filter-based,same as above,20120222,Annovar
hg19,cosmic64,filter-based,COSMIC database version 64,20130520,Annovar
hg19,cosmic65,filter-based,COSMIC database version 65,20130706,Annovar
hg19,cosmic67,filter-based,COSMIC database version 67,20131117,Annovar
hg19,cosmic67wgs,filter-based,COSMIC database version 67 on WGS data,20131117,Annovar
hg19,cosmic68,filter-based,COSMIC database version 68,20140224,Annovar
hg19,cosmic68wgs,filter-based,COSMIC database version 68 on WGS data,20140224,Annovar
hg19,cosmic70,filter-based,same as above,20140911,Annovar
hg18,cosmic70,filter-based,same as above,20150428,Annovar
hg38,cosmic70,filter-based,same as above,20150428,Annovar
hg19/hg38,"cosmic71, 72, ..., 80",filter-based,read?here,,Annovar
hg18,esp6500siv2_ea,filter-based,"alternative allele frequency in European American subjects in the NHLBI-ESP project with 6500 exomes, including the indel calls and the chrY calls. This is lifted over from hg19 by myself",20141222,Annovar
hg19,esp6500siv2_ea,filter-based,same as above,20141222,Annovar
hg38,esp6500siv2_ea,filter-based,"same as above, lifted over from hg19 by myself",20141222,Annovar
hg18,esp6500siv2_aa,filter-based,"alternative allele frequency in African American subjects in the NHLBI-ESP project with 6500 exomes, including the indel calls and the chrY calls. This is lifted over from hg19 by myself.",20141222,Annovar
hg19,esp6500siv2_aa,filter-based,same as above,20141222,Annovar
hg38,esp6500siv2_aa,filter-based,"same as above, lifted over from hg19 by myself",20141222,Annovar
hg18,esp6500siv2_all,filter-based,"alternative allele frequency in All subjects in the NHLBI-ESP project with 6500 exomes, including the indel calls and the chrY calls. This is lifted over from hg19 by myself.",20141222,Annovar
hg19,esp6500siv2_all,filter-based,same as above,20141222,Annovar
hg38,esp6500siv2_all,filter-based,"same as above, lifted over from hg19 by myself",20141222,Annovar
hg19,exac03,filter-based,"ExAC 65000 exome allele frequency data for ALL, AFR (African), AMR (Admixed American), EAS (East Asian), FIN (Finnish), NFE (Non-finnish European), OTH (other), SAS (South Asian)). version 0.3. Left normalization done.",20151129,Annovar
hg18,exac03,filter-based,same as above,20151129,Annovar
hg38,exac03,filter-based,same as above,20151129,Annovar
hg19,exac03nontcga,filter-based,ExAC on non-TCGA samples (updated header),20160423,Annovar
hg38,exac03nontcga,filter-based,same as above,20160423,Annovar
hg19,exac03nonpsych,filter-based,ExAC on non-Psychiatric disease samples (updated header),20160423,Annovar
hg38,exac03nonpsych,filter-based,same as above,20160423,Annovar
hg38,exac10,filter-based,No difference as exac03 based on?this; use exac03 instead,X,Annovar
hg19,gene4denovo201907,filter-based,gene4denovo?database,20191101,Annovar
hg38,gene4denovo201907,filter-based,gene4denovo database,20191101,Annovar
hg19,gnomad_exome,filter-based,gnomAD exome collection (v2.0.1),20170311,Annovar
hg38,gnomad_exome,filter-based,gnomAD exome collection (v2.0.1),20170311,Annovar
hg19,gnomad_genome,filter-based,gnomAD genome collection (v2.0.1),20170311,Annovar
hg38,gnomad_genome,filter-based,gnomAD genome collection (v2.0.1),20170311,Annovar
hg19,gnomad211_exome,filter-based,"gnomAD exome collection (v2.1.1), with ""AF AF_popmax AF_male AF_female AF_raw AF_afr AF_sas AF_amr AF_eas AF_nfe AF_fin AF_asj AF_oth non_topmed_AF_popmax non_neuro_AF_popmax non_cancer_AF_popmax controls_AF_popmax"" header",20190318,Annovar
hg19,gnomad211_genome,filter-based,same as above,20190323,Annovar
hg38,gnomad211_exome,filter-based,same as above,20190409,Annovar
hg38,gnomad211_genome,filter-based,same as above,20190409,Annovar
hg38,gnomad30_genome,filter-based,version 3.0 whole-genome data,20191104,Annovar
hg38,gnomad312_genome,filter-based,version 3.1.2 whole-genome data,20221228,Annovar
hg19,kaviar_20150923,filter-based,170 million Known VARiants from 13K genomes and 64K exomes in 34 projects,20151203,Annovar
hg38,kaviar_20150923,filter-based,same as above,20151203,Annovar
hg19,hrcr1,filter-based,40 million variants from 32K samples in haplotype reference consortium,20151203,Annovar
hg38,hrcr1,filter-based,same as above,20151203,Annovar
hg19,abraom,filter-based,2.3 million?Brazilian genomic variants,20181204,Annovar
hg38,abraom,filter-based,liftOver from above,20181204,Annovar
hg18,1000g (3 data sets),filter-based,alternative allele frequency data in 1000 Genomes Project,20120222,Annovar
hg18,1000g2010 (3 data sets),filter-based,same as above,20120222,Annovar
hg18,1000g2010jul (3 data sets),filter-based,same as above,20120222,Annovar
hg18,1000g2012apr,filter-based,"I lifted over the latest 1000 Genomes Project data to hg18, to help researchers working with hg18 coordinates",20120820,Annovar
hg19,1000g2010nov,filter-based,same as above,20120222,Annovar
hg19,1000g2011may,filter-based,same as above,20120222,Annovar
hg19,1000g2012feb,filter-based,same as above,20130308,Annovar
hg18,1000g2012apr (5 data sets),filter-based,"This is done by liftOver of the hg19 data below. It contains alternative allele frequency data in 1000 Genomes Project for ALL, AMR (admixed american), EUR (european), ASN (asian), AFR (african) populations",20130508,Annovar
hg19,1000g2012apr (5 data sets),filter-based,"alternative allele frequency data in 1000 Genomes Project for ALL, AMR (admixed american), EUR (european), ASN (asian), AFR (african) populations",20120525,Annovar
hg19,1000g2014aug (6 data sets),filter-based,"alternative allele frequency data in 1000 Genomes Project for autosomes (ALL, AFR (African), AMR (Admixed American), EAS (East Asian), EUR (European), SAS (South Asian)). Based on 201408 collection v4 (based on 201305 alignment)",20140915,Annovar
hg19,1000g2014sep (6 data sets),filter-based,"alternative allele frequency data in 1000 Genomes Project for autosomes (ALL, AFR (African), AMR (Admixed American), EAS (East Asian), EUR (European), SAS (South Asian)). Based on 201409 collection v5 (based on 201305 alignment)",20140925,Annovar
hg19,1000g2014oct (6 data sets),filter-based,"alternative allele frequency data in 1000 Genomes Project for autosomes (ALL, AFR (African), AMR (Admixed American), EAS (East Asian), EUR (European), SAS (South Asian)). Based on 201409 collection v5 (based on 201305 alignment) but including chrX and chrY data finally!",20141216,Annovar
hg18,1000g2014oct (6 data sets),filter-based,same as above,20150428,Annovar
hg38,1000g2014oct (6 data sets),filter-based,same as above,20150424,Annovar
hg19,1000g2015aug (6 data sets),filter-based,The 1000G team fixed a bug in chrX frequency calculation. Based on 201508 collection v5b (based on 201305 alignment),20150824,Annovar
hg38,1000g2015aug (6 data sets),filter-based,same as above,20150824,Annovar
hg19,gme,filter-based,"Great Middle East?allele frequency including NWA (northwest Africa), NEA (northeast Africa), AP (Arabian peninsula), Israel, SD (Syrian desert), TP (Turkish peninsula) and CA (Central Asia)",20161024,Annovar
hg38,gme,filter-based,same as above,20161024,Annovar
hg19,mcap,filter-based,M-CAP scores?for non-synonymous variants,20161104,Annovar
hg38,mcap,filter-based,same as above,20161104,Annovar
hg19,mcap13,filter-based,[M-CAP scores v1.3],20181203,Annovar
hg19,revel,filter-based,REVEL scores?for non-synonymous variants,20161205,Annovar
hg38,revel,filter-based,same as above,20161205,Annovar
hg18,snp128,filter-based,dbSNP with ANNOVAR index files,20120222,Annovar
hg18,snp129,filter-based,same as above,20120222,Annovar
hg19,snp129,filter-based,liftover from hg18_snp129.txt,20120809,Annovar
hg18,snp130,filter-based,same as above,20120222,Annovar
hg19,snp130,filter-based,same as above,20120222,Annovar
hg18,snp131,filter-based,same as above,20120222,Annovar
hg19,snp131,filter-based,same as above,20120222,Annovar
hg18,snp132,filter-based,same as above,20120222,Annovar
hg19,snp132,filter-based,same as above,20120222,Annovar
hg18,snp135,filter-based,I lifted over SNP135 to hg18,20120820,Annovar
hg19,snp135,filter-based,same as above,20120222,Annovar
hg19,snp137,filter-based,same as above,20130109,Annovar
hg18,snp138,filter-based,I lifted over SNP138 to hg18,20140910,Annovar
hg19,snp138,filter-based,same as above,file and index updated 20140910,Annovar
hg19,avsnp138,filter-based,dbSNP138 with allelic splitting and left-normalization,20141223,Annovar
hg19,avsnp142,filter-based,dbSNP142 with allelic splitting and left-normalization,20141228,Annovar
hg19,avsnp144,filter-based,dbSNP144 with allelic splitting and left-normalization (careful with?bugs!),20151102,Annovar
hg38,avsnp144,filter-based,same as above,20151102,Annovar
hg19,avsnp147,filter-based,dbSNP147 with allelic splitting and left-normalization,20160606,Annovar
hg38,avsnp142,filter-based,dbSNP142 with allelic splitting and left-normalization,20160106,Annovar
hg38,avsnp144,filter-based,dbSNP144 with allelic splitting and left-normalization,20151102,Annovar
hg38,avsnp147,filter-based,dbSNP147 with allelic splitting and left-normalization,20160606,Annovar
hg19,avsnp150,filter-based,dbSNP150 with allelic splitting and left-normalization,20170929,Annovar
hg38,avsnp150,filter-based,dbSNP150 with allelic splitting and left-normalization,20170929,Annovar
hg18,snp128NonFlagged,filter-based,"dbSNP with ANNOVAR index files, after removing those flagged SNPs (SNPs < 1% minor allele frequency (MAF) (or unknown), mapping only once to reference assembly, flagged in dbSnp as ""clinically associated"")",20120524,Annovar
hg18,snp129NonFlagged,filter-based,same as above,20120524,Annovar
hg18,snp130NonFlagged,filter-based,same as above,20120524,Annovar
hg19,snp130NonFlagged,filter-based,same as above,20120524,Annovar
hg18,snp131NonFlagged,filter-based,same as above,20120524,Annovar
hg19,snp131NonFlagged,filter-based,same as above,20120524,Annovar
hg18,snp132NonFlagged,filter-based,same as above,20120524,Annovar
hg19,snp132NonFlagged,filter-based,same as above,20120524,Annovar
hg19,snp135NonFlagged,filter-based,same as above,20120524,Annovar
hg19,snp137NonFlagged,filter-based,same as above,20130109,Annovar
hg19,snp138NonFlagged,filter-based,same as above,20140222,Annovar
hg19,nci60,filter-based,NCI-60 human tumor cell line panel exome sequencing allele frequency data,20130724,Annovar
hg18,nci60,filter-based,same as above,20150428,Annovar
hg38,nci60,filter-based,same as above,20150428,Annovar
hg19,icgc21,filter-based,International Cancer Genome Consortium version 21,20160622,Annovar
hg19,icgc28,filter-based,International Cancer Genome Consortium version 28,20210122,Annovar
hg38,icgc28,filter-based,International Cancer Genome Consortium version 28,20210122,Annovar
hg19,clinvar_20131105,filter-based,"CLINVAR database with Variant Clinical Significance (unknown, untested, non-pathogenic, probable-non-pathogenic, probable-pathogenic, pathogenic, drug-response, histocompatibility, other) and Variant disease name",20140430,Annovar
hg19,clinvar_20140211,filter-based,same as above,20140430,Annovar
hg19,clinvar_20140303,filter-based,same as above,20140430,Annovar
hg19,clinvar_20140702,filter-based,same as above,20140712,Annovar
hg38,clinvar_20140702,filter-based,same as above,20140712,Annovar
hg19,clinvar_20140902,filter-based,same as above,20140911,Annovar
hg38,clinvar_20140902,filter-based,same as above,20140911,Annovar
hg19,clinvar_20140929,filter-based,same as above,20141002,Annovar
hg19,clinvar_20150330,filter-based,same as above but with variant normalization,20150413,Annovar
hg38,clinvar_20150330,filter-based,same as above but with variant normalization,20150413,Annovar
hg19,clinvar_20150629,filter-based,same as above but with variant normalization,20150724,Annovar
hg38,clinvar_20150629,filter-based,same as above but with variant normalization,20150724,Annovar
hg19,clinvar_20151201,filter-based,Clinvar version 20151201 with separate columns (CLINSIG CLNDBN CLNACC CLNDSDB CLNDSDBID),20160303,Annovar
hg38,clinvar_20151201,filter-based,same as avove,20160303,Annovar
hg19,clinvar_20160302,filter-based,Clinvar version 20160302 with separate columns (CLINSIG CLNDBN CLNACC CLNDSDB CLNDSDBID),20171003,Annovar
hg38,clinvar_20160302,filter-based,same as above (updated 20171003 to handle multi-allelic variants),20171003,Annovar
hg19,clinvar_20161128,filter-based,Clinvar version 20161128 with separate columns (CLINSIG CLNDBN CLNACC CLNDSDB CLNDSDBID),20171003,Annovar
hg38,clinvar_20161128,filter-based,same as above (updated 20170215 to add missing header line; 20171003 to handle multi-allelic variants),20171003,Annovar
hg19,clinvar_20170130,filter-based,Clinvar version 20170130 with separate columns (CLINSIG CLNDBN CLNACC CLNDSDB CLNDSDBID),20171003,Annovar
hg38,clinvar_20170130,filter-based,same as above,20171003,Annovar
hg19,clinvar_20170501,filter-based,Clinvar version 20170130 with separate columns (CLINSIG CLNDBN CLNACC CLNDSDB CLNDSDBID),20171003,Annovar
hg38,clinvar_20170501,filter-based,same as above,20171003,Annovar
hg19,clinvar_20170905,filter-based,Clinvar version 20170905 with separate columns (CLINSIG CLNDBN CLNACC CLNDSDB CLNDSDBID),20171003,Annovar
hg38,clinvar_20170905,filter-based,same as above,20171003,Annovar
hg19,clinvar_20180603,filter-based,Clinvar version 20180603 with separate columns (CLNALLELEID CLNDN CLNDISDB CLNREVSTAT CLNSIG),20180708,Annovar
hg38,clinvar_20180603,filter-based,same as above,20180708,Annovar
hg19,clinvar_20190305,filter-based,Clinvar version 20190305 with separate columns (CLNALLELEID CLNDN CLNDISDB CLNREVSTAT CLNSIG),20190311,Annovar
hg38,clinvar_20190305,filter-based,same as above,20190316,Annovar
hg19,clinvar_20200316,filter-based,Clinvar version 20200316 with separate columns (CLNALLELEID CLNDN CLNDISDB CLNREVSTAT CLNSIG),20200401,Annovar
hg38,clinvar_20200316,filter-based,same as above,20200401,Annovar
hg19,clinvar_20210123,filter-based,Clinvar version 20210123 with separate columns (CLNALLELEID CLNDN CLNDISDB CLNREVSTAT CLNSIG),20210202,Annovar
hg38,clinvar_20210123,filter-based,same as above,20210202,Annovar
hg19,clinvar_20210501,filter-based,Clinvar version 20210501 with separate columns (CLNALLELEID CLNDN CLNDISDB CLNREVSTAT CLNSIG),20210507,Annovar
hg38,clinvar_20210501,filter-based,same as above,20210507,Annovar
hg19,clinvar_20220320,filter-based,Clinvar version 20220320 with separate columns (CLNALLELEID CLNDN CLNDISDB CLNREVSTAT CLNSIG),20220330,Annovar
hg38,clinvar_20220320,filter-based,same as above,20220320,Annovar
hg19,clinvar_20221231,filter-based,Clinvar version 20221231 with separate columns (CLNALLELEID CLNDN CLNDISDB CLNREVSTAT CLNSIG),20230105,Annovar
hg38,clinvar_20221231,filter-based,same as above,20230105,Annovar
hg19,popfreq_max_20150413,filter-based,"A database containing the maximum allele frequency from 1000G, ESP6500, ExAC and CG46",20150413,Annovar
hg19,popfreq_all_20150413,filter-based,"A database containing all allele frequency from 1000G, ESP6500, ExAC and CG46",20150413,Annovar
hg19,mitimpact2,filter-based,pathogenicity predictions of human mitochondrial missense variants (see?here,20150520,Annovar
hg19,mitimpact24,filter-based,same as above with version 2.4,20160123,Annovar
hg19,regsnpintron,filter-based,prioritize the disease-causing probability of intronic SNVs,20180920,Annovar
hg38,regsnpintron,filter-based,lifeOver of above,20180922,Annovar
